2015,2015_CFB_T1,2015_CFB_T2,2015_CFB_T3,2015_CFB_T4,2015_CFB_T5,2015_DBS_T1,2015_DBS_T2,2015_DBS_T3,2015_DBS_T4,2015_DBS_T5,2015_HBH_T1,2015_HBH_T2,2015_HBH_T3,2015_HBH_T4,2015_HBH_T5,2015_HW_T1,2015_HW_T2,2015_HW_T3,2015_HW_T4,2015_HW_T5,2015_JLS_T1,2015_JLS_T2,2015_JLS_T3,2015_JLS_T4,2015_JLS_T5,2015_LDS_T1,2015_LDS_T2,2015_LDS_T3,2015_LDS_T4,2015_LDS_T5,2015_LK_T1,2015_LK_T2,2015_LK_T3,2015_LK_T4,2015_LK_T5,2015_OUT_T1,2015_OUT_T2,2015_OUT_T3,2015_OUT_T4,2015_OUT_T5,2015_TS_T1,2015_TS_T2,2015_TS_T3,2015_TS_T4,2015_TS_T5,2015_WLT_T1,2015_WLT_T2,2015_WLT_T3,2015_WLT_T4,2015_WLT_T5
1,5.98816335918361,6.08455563498508,4.50828779785566,5.42401920243942,4.72661284623975,5.31166173633443,4.7168031187074,3.63669206787372,4.4683651625824,4.18921991558363,4.39347370305022,5.64897639041053,5.36357230781443,5.55158924814775,6.3519511847572,7.27259821272642,5.47671823195514,5.50712668936689,7.04175418559774,6.2289784182338,3.63875892034387,7.57179571781255,7.66838660579785,5.17708237073703,7.46119313273305,3.56591196337282,4.54873536358385,5.8853278702067,3.97474322058013,1.82961222329571,6.10512832766644,3.1953205400797,5.19644513926175,6.34223594180452,5.31897450511364,4.60007809802487,5.61221194835112,4.22255138808895,4.30046166896892,4.88121032893733,5.35673802797548,4.99988318258508,5.81902859365783,5.15828666326001,5.86215710999072,6.41155256548339,5.04018805601317,4.71861168706463,4.34814236424514,4.73033790469025
2,5.98210157537496,6.05424672841081,4.7872310478016,5.45432820226724,4.72055102509688,5.32378546567347,4.60758983031114,3.49716861307275,4.49867460936817,4.31055721636009,4.29638408966423,5.56411045474681,5.27254501677084,5.63655456361655,6.33376569248531,7.20581942490607,5.66483322450685,5.37972913501635,7.10237188471887,6.30788110992283,3.66300648553615,7.86872311716272,7.69869546558207,4.7526533273297,7.39451355797748,3.52954045079283,4.59116858315875,5.86108047043777,3.89583905023769,1.866083414274,6.03238612112013,3.1953205400797,5.13582636668713,6.36042146835443,5.37353135245732,4.68494449612396,5.39378623476674,4.3984457301475,4.03950186155899,4.72350205179355,5.45988893679921,5.0848486783539,5.76447200123252,4.84893270024982,5.78941499884385,6.34487266292211,5.04624990484427,4.71254982853733,4.45129349300512,4.76680842470969
3,6.07909009478674,5.85410845897511,4.87219587389479,5.38754902293115,4.71448920377463,5.54827307845053,4.74105064708526,3.58819674678156,4.54716971489665,4.32874289898054,4.42984503050429,5.7096942689394,5.36357230781443,5.67292567034309,6.49147261274038,7.11489291541676,5.63452416448192,5.57986847113426,7.13268072755255,6.50195775247826,3.5841025128666,8.31113221901398,7.5229040164088,4.4191514530675,7.39451355797748,3.34132273878869,4.65188682819864,5.67912550599756,3.81693484949978,1.90245522224243,5.97782944925795,3.29847279501476,5.16613575521689,6.22706090282934,5.30685075928615,4.70322952342882,5.57584080383542,4.38026005093567,3.96665963204842,4.887272207362,5.49019820167591,5.19396221070151,5.78265753365548,4.6062589464312,5.75870828023693,6.30234061239425,5.07049729837468,4.73679726157016,4.39663731371609,4.73639976269113
4,6.07909009478674,5.75105804238937,4.79329286697111,5.49676079449172,4.71448920377463,5.6938569897536,4.68033244561883,3.73984396266753,4.63213549710741,4.38946120466875,4.31456976281856,5.7096942689394,5.39388160426127,5.71535862002835,6.63099394569189,7.13913998856035,5.77434329909024,5.74403425526933,7.13874249558113,6.75059023324684,3.65088270329882,8.571688075862,7.48047157504073,4.28579030130541,7.55211979060199,3.43245034323106,4.65794871419483,5.71549663688282,3.82309613579,2.04207917918334,5.97176759593186,3.48043006605111,5.26918764267111,6.1179476482739,5.42808818527005,4.59401621110087,5.29073453197667,4.67759073468243,4.02737805435146,4.85090093412305,5.47231076720908,5.2668039080488,5.72810093154301,4.45461254807823,5.68596613235296,6.24172248773435,5.0765591463088,4.61546069292395,4.3723898404158,4.60900133221769
5,6.14586904867023,5.79955236253482,4.70236556059193,5.64830569496544,4.85401042285331,5.78478477264645,4.69245621232521,3.71559631576786,4.65032115117696,4.51079838682668,4.38134992579701,5.79456014428608,5.43631461175229,5.61230715554434,6.61280847819323,6.98749636100643,5.85324616590444,5.84718435983406,7.30857130071442,7.05993949721761,3.53560736093016,8.4080208772571,7.40166844632315,4.23113406648183,7.37672570947956,3.57803579946425,4.69432002640456,5.85501862004706,3.83521995665864,2.19382695896933,6.04450982400509,3.36515404199579,5.21463076753593,6.18462797740875,5.51305371563168,4.63038752995386,5.16333592320738,4.69577638749619,4.13659166880438,5.11166095790476,5.39956851761816,5.15152917725082,5.60070276219406,4.55170203098905,5.70415167174575,5.9505564913954,4.99765573457937,4.70042611094453,4.41482291680762,4.69396675291765
6,6.12768371070725,6.01777666111266,4.66599462673832,5.76347974434006,4.76904558921669,5.96077712082472,4.74105064708526,3.67922484003627,4.80206695579573,4.36521363467044,4.36316425857169,5.89164904755045,5.58796036996093,5.56977480986161,6.61280847819323,6.88474432414058,5.9988288315745,5.91992602083888,7.12661895934458,7.53901753495374,3.41427005547416,8.24445292092472,7.29871752883195,4.16445344024694,7.34641680205616,3.57803579946425,4.69432002640456,5.8853278702067,3.82915804631402,2.10886014130999,5.9475201808336,3.35909211134909,5.14188824475187,6.20887536443971,5.44031129882578,4.53935984548857,5.04806098271307,4.79286588366831,4.19731004073385,5.09953721415724,5.50868188231729,5.12121986226133,5.54614611161916,4.61271832525735,5.66778059134564,5.83528246721782,5.10080653625132,4.77316840573751,4.36026610268927,4.70002861199491
7,6.08515187572517,6.06030851008444,4.71448920377463,5.75741795388223,4.6841800944724,6.08807583969178,4.94735327242718,3.61244440876287,4.80812883563597,4.34096606180173,4.29638408966423,5.87346351441289,5.57583666340744,5.58189851677388,6.61280847819323,6.84191439800274,6.10804060636133,6.08985521023276,6.96285177659215,8.09699645478263,3.62047386928401,8.24445292092472,7.19566718605149,4.17657719208606,7.29792254085078,3.50489526919896,4.65794871419483,6.0066642005219,3.85340568661608,2.17564108166308,5.98995315537195,3.46214490794399,5.05096005494417,6.06945284981488,5.25835576880038,4.53329795676765,5.20576900996785,4.88995533382056,4.30046166896892,5.33008697233361,5.30854129458255,5.23033337523426,5.8978325348414,4.71577023375139,5.722337209524,5.87771524055893,5.05837360196826,4.6821411584637,4.420884784146,3.97190861618578
8,6.24285749053918,6.02383844386557,4.75086012901723,5.81207343513374,4.87219587389479,6.10019952307694,4.7531744101978,3.70953440359444,4.64425926666651,4.65638303550801,4.27213652294686,6.0311707890597,5.66080196881848,5.7639527834607,6.64311758979407,6.81160551214621,6.08985521023276,6.29605564547241,6.84161627783583,8.08487297525989,3.57804061950246,7.95964959413607,7.10474036995779,3.95834954918888,7.14041548622007,3.44417668415186,4.79747141770436,6.04303527324897,3.79874911630428,2.34587275523094,5.80203562996845,3.4986158466799,5.26312576837367,6.03308174343621,5.26441764323898,4.41802266170209,5.16939779328277,4.73830894624301,4.52495043757965,5.31190137583555,5.27217014393671,5.11515799872525,5.90389437521517,5.18283223556489,5.71627536377731,5.73213203541403,4.87025746659825,4.72467354541254,4.17214932617819,3.7716677104374
9,6.47926662520167,6.05424672841081,4.82976315228647,5.99392702231071,4.79329286697111,6.2822534364727,4.78954569522989,3.70347249124161,4.53504593959092,4.50473649818712,3.9443965895684,6.06754182571765,5.80032386756617,5.7639527834607,6.45510165135539,6.86019910074409,5.98064342575009,6.49013229923206,6.88404871056255,7.8301803666268,3.42639385171671,7.92327900818999,7.07443142229067,3.9158169942649,7.04948864560072,3.34102461133576,4.73069133215598,5.98837928720327,3.76843955739038,2.91649067809329,5.80203562996845,3.40758755149938,5.26312576837367,5.94215394923543,5.51305371563168,4.30880919730556,5.5455315118057,4.6472813097382,4.81005777532867,5.26340644394735,5.46624891406317,5.18790034931816,5.81296675077259,5.72869717863917,5.66778059134564,5.6411052142994,4.90662858706763,4.69426487713876,4.2753005435673,3.73519701322969
10,6.26104281827705,6.08455563498508,4.69630373873148,5.90906203505308,4.76904558921669,6.30650077954004,4.85026386432238,3.81268626170472,4.77781943464083,4.72316312642848,4.18110874686878,6.02510894898884,5.96409304058028,5.7821383263207,6.38226033495589,6.69643170499154,5.79859053091793,6.52054060620012,6.80524561421691,7.44202941449262,3.55985493833361,7.74748775174845,6.9774427596193,4.05533964140281,7.07373580704567,3.34708653612679,4.76110012381083,5.99454050817775,3.8837152329571,3.21392290104044,5.82022120447744,3.43183526726881,5.22675451882173,6.04520544628,5.64035288288212,4.45439401180574,5.15727405295259,4.62293439137076,4.97988973737689,5.27553017799577,5.41775408243771,4.98775944815181,6.01310684564502,5.8560952683818,5.44945459867276,5.72567270992159,4.79741583159448,4.73679726157016,3.95978485475493,3.7595439371543
